2024-05-07 00:13:27 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - Starting SpringBootRestApiPostgresqlApplication using Java 17.0.10 with PID 11844 (C:\Users\HP-Laptop\Desktop\Cloud\Laborator 2\target\classes started by HP-Laptop in C:\Users\HP-Laptop\Desktop\Cloud\Laborator 2)
2024-05-07 00:35:17 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-05-07 00:35:36 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - Starting SpringBootRestApiPostgresqlApplication using Java 17.0.10 with PID 2536 (C:\Users\HP-Laptop\Desktop\Cloud\Laborator 2\target\classes started by HP-Laptop in C:\Users\HP-Laptop\Desktop\Cloud\Laborator 2)
2024-05-07 00:35:36 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-07 00:35:37 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-07 00:35:37 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 62 ms. Found 2 JPA repository interfaces.
2024-05-07 00:35:37 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-05-07 00:35:37 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-07 00:35:37 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2024-05-07 00:35:38 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-07 00:35:38 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1671 ms
2024-05-07 00:35:38 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-07 00:35:38 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.13.Final
2024-05-07 00:35:38 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-05-07 00:35:38 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-07 00:35:38 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-05-07 00:35:40 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@49c83262
2024-05-07 00:35:40 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-05-07 00:35:40 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-05-07 00:35:41 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-07 00:35:43 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-07 00:35:44 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-05-07 00:35:45 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@655d5285, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@36f1bd7e, org.springframework.security.web.context.SecurityContextHolderFilter@7021bb55, org.springframework.security.web.header.HeaderWriterFilter@702e21c, org.springframework.security.web.csrf.CsrfFilter@674c01ce, org.springframework.security.web.authentication.logout.LogoutFilter@7ef34eb3, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@109f95b1, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@74eae1e0, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@4d20cbb5, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@28901fe7, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@1c2273f6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@14d9ae22, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4ceb368b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@411e567e, org.springframework.security.oauth2.client.web.OAuth2AuthorizationCodeGrantFilter@381d7c4c, org.springframework.security.web.access.ExceptionTranslationFilter@3652dd19, org.springframework.security.web.access.intercept.AuthorizationFilter@299615a5]
2024-05-07 00:35:45 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-05-07 00:35:45 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - Started SpringBootRestApiPostgresqlApplication in 9.366 seconds (process running for 9.821)
2024-05-07 00:35:49 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-07 00:35:49 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-07 00:35:49 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2024-05-07 00:36:43 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-07 00:36:43 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-05-07 00:36:47 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-05-07 00:37:48 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - Starting SpringBootRestApiPostgresqlApplication using Java 17.0.10 with PID 11324 (C:\Users\HP-Laptop\Desktop\Cloud\Laborator 2\target\classes started by HP-Laptop in C:\Users\HP-Laptop\Desktop\Cloud\Laborator 2)
2024-05-07 00:37:48 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-07 00:37:49 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-07 00:37:49 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 93 ms. Found 2 JPA repository interfaces.
2024-05-07 00:37:50 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-05-07 00:37:50 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-07 00:37:50 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2024-05-07 00:37:50 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-07 00:37:50 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1780 ms
2024-05-07 00:37:51 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-07 00:37:51 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.13.Final
2024-05-07 00:37:51 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-05-07 00:37:51 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-07 00:37:51 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-05-07 00:37:53 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@7adae08e
2024-05-07 00:37:53 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-05-07 00:37:53 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-05-07 00:37:56 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-07 00:37:57 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-07 00:37:58 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-05-07 00:38:00 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@655d5285, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@36f1bd7e, org.springframework.security.web.context.SecurityContextHolderFilter@7021bb55, org.springframework.security.web.header.HeaderWriterFilter@702e21c, org.springframework.security.web.csrf.CsrfFilter@674c01ce, org.springframework.security.web.authentication.logout.LogoutFilter@7ef34eb3, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@109f95b1, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@74eae1e0, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@4d20cbb5, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@28901fe7, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@1c2273f6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@14d9ae22, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4ceb368b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@411e567e, org.springframework.security.oauth2.client.web.OAuth2AuthorizationCodeGrantFilter@381d7c4c, org.springframework.security.web.access.ExceptionTranslationFilter@3652dd19, org.springframework.security.web.access.intercept.AuthorizationFilter@299615a5]
2024-05-07 00:38:00 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-05-07 00:38:00 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - Started SpringBootRestApiPostgresqlApplication in 12.054 seconds (process running for 12.502)
2024-05-07 00:38:10 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-07 00:38:10 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-07 00:38:10 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 8 ms
2024-05-07 01:00:56 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-07 01:00:56 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-05-07 01:01:01 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
